fixed acidity,volatile acidity,citric acid,residual sugar,density,sulphates,alcohol,quality
7.7,0.6,0,2.6,0.99639,0.56,10.8,5
10.1,0.27,0.54,2.3,0.99531,0.53,12.5,6
10.8,0.89,0.3,2.6,0.99786,1.18,10.2,5
8.7,0.46,0.31,2.5,0.99746,0.74,9.6,5
9.3,0.37,0.44,1.6,0.99526,0.81,10.8,7
9.4,0.5,0.34,3.6,0.9987,0.52,10.7,6
7.2,0.61,0.08,4,0.99641,0.51,9.4,5
8.6,0.55,0.09,3.3,0.99735,0.44,10,5
5.1,0.585,0,1.7,0.99264,0.94,12.9,7
7.7,0.56,0.08,2.5,0.9971,0.66,9.6,6
8.4,0.52,0.22,2.7,0.99682,0.57,9.9,6
8.2,0.28,0.4,2.4,0.99356,0.7,12.8,7
8.4,0.25,0.39,2,0.99386,0.71,12.5,7
7.4,0.53,0.12,1.9,0.99702,0.86,9.2,5
7.6,0.48,0.31,2.8,0.99693,0.55,10.3,6
7.3,0.49,0.1,2.6,0.99562,0.47,10.5,5
12.9,0.5,0.55,2.8,1.00012,0.68,10.9,6
10.8,0.45,0.33,2.5,0.99818,0.71,10.8,5
6.9,0.39,0.24,2.1,0.99462,0.58,11.4,4
12.6,0.41,0.54,2.8,0.99939,0.76,11.3,6
9.8,0.51,0.19,3.2,0.9984,0.58,10.5,6
10.8,0.29,0.42,1.6,0.99545,0.73,11.9,6
7.1,0.715,0,2.35,0.99632,0.45,9.4,5
9.1,0.66,0.15,3.2,0.99976,0.54,9.6,5
7,0.685,0,1.9,0.99606,0.6,9.7,5
4.9,0.42,0,2.1,0.99154,0.74,14,7
6.7,0.54,0.13,2,0.9973,0.64,9.8,5
7.1,0.48,0.28,2.8,0.99682,0.53,10.3,5
7.1,0.46,0.14,2.8,0.99624,0.49,10.7,5
7.5,0.27,0.34,2.3,0.9951,0.64,11,7
7.8,0.57,0.09,2.3,0.99417,0.74,12.7,8
5.9,0.61,0.08,2.1,0.99376,0.77,11.1,6
7.5,0.685,0.07,2.5,0.99632,0.55,10.9,4
10.4,0.44,0.42,1.5,0.99832,0.86,9.9,3
11.6,0.47,0.44,1.6,0.99836,0.86,9.9,4
8.8,0.685,0.26,1.6,0.99694,0.47,9.4,5
7.6,0.665,0.1,1.5,0.99655,0.51,9.3,5
6.7,0.28,0.28,2.4,0.99064,0.39,11.7,7
10.1,0.31,0.35,1.6,0.99672,0.83,11.2,7
6,0.5,0.04,2.2,0.99647,0.47,10,5
11.1,0.42,0.47,2.65,0.99736,0.77,12.1,7
6.6,0.66,0,3,0.99629,0.63,10.3,5
10.6,0.5,0.45,2.6,0.99708,0.72,10.9,6
7.1,0.685,0.35,2,0.9963,0.62,9.4,5
9.9,0.25,0.46,1.7,0.9959,0.83,10.6,6
6.4,0.64,0.21,1.8,0.99689,0.66,9.8,5
7.4,0.68,0.16,1.8,0.9977,0.7,9.9,6
6.4,0.63,0.21,1.6,0.99689,0.66,9.8,5
9.3,0.43,0.44,1.9,0.99708,0.55,9.5,5
8,0.42,0.32,2.5,0.99801,1.07,9.7,5
9.3,0.36,0.39,1.5,0.99652,0.73,10.9,6
7.6,0.735,0.02,2.5,0.99538,0.71,11.7,7
8.2,0.26,0.34,2.5,0.99594,0.78,11.3,7
11.7,0.28,0.47,1.7,0.99686,0.67,10.6,7
6.8,0.56,0.22,1.8,0.99438,0.82,11.2,6
7.2,0.62,0.06,2.7,0.99746,0.54,9.5,5
5.8,1.01,0.66,2,0.99357,0.6,11.5,6
7.5,0.42,0.32,2.7,0.99628,0.44,10.4,5
7.2,0.62,0.06,2.5,0.99746,0.53,9.7,5
7.2,0.635,0.07,2.6,0.99748,0.54,9.7,5
6.8,0.49,0.22,2.3,0.99438,0.83,11.3,6
6.9,0.51,0.23,2,0.99438,0.84,11.2,6
7.6,0.63,0.03,2,0.99578,0.64,10.9,6
7.7,0.715,0.01,2.1,0.99371,0.57,11.8,6
6.9,0.56,0.03,1.5,0.99522,0.57,10.6,5
7.3,0.35,0.24,2,0.99576,0.54,10,4
9.1,0.21,0.37,1.6,0.99552,0.58,11.1,7
10.4,0.38,0.46,2.1,0.99664,0.65,11.8,7
8.8,0.31,0.4,2.8,0.99614,0.79,11.8,7
7.1,0.47,0,2.2,0.99517,0.58,10.9,4
8.8,0.61,0.19,4,0.99787,0.5,10,6
7.2,0.6,0.04,2.5,0.99745,0.55,9.5,5
9.2,0.56,0.18,1.6,0.99576,0.49,9.9,5
7.6,0.715,0,2.1,0.99533,0.65,11.4,6
8.4,0.31,0.29,3.1,0.99536,0.78,12,6
8.9,0.75,0.14,2.5,0.99824,0.64,10.5,5
9,0.8,0.12,2.4,0.99836,0.65,10.4,6
10.7,0.52,0.38,2.6,0.99577,0.79,12.1,7
6.8,0.57,0,2.5,0.99491,0.56,11.2,6
10.7,0.9,0.34,6.6,1.00289,0.68,9.3,5
7.2,0.34,0.24,2,0.99576,0.58,10.1,5
7.2,0.66,0.03,2.3,0.99743,0.57,9.7,5
10.1,0.45,0.23,1.9,0.99774,0.65,9.3,6
7.2,0.63,0.03,2.2,0.99745,0.58,9.8,6
7.1,0.59,0.01,2.3,0.9955,0.58,10.7,6
8.3,0.31,0.39,2.4,0.99444,0.77,12.5,7
8.3,1.02,0.02,3.4,0.99892,0.49,11,3
8.9,0.31,0.36,2.6,0.99562,0.69,11.8,5
7.4,0.635,0.1,2.4,0.99736,0.69,10.8,7
6.8,0.59,0.06,6,0.9962,0.59,10.8,7
9.2,0.58,0.2,3,0.998,0.59,9.5,5
7.2,0.54,0.27,2.6,0.9964,0.71,11,5
6.1,0.56,0,2.2,0.9948,0.54,11.5,6
7.4,0.52,0.13,2.4,0.99528,0.59,10.8,6
7.3,0.305,0.39,1.2,0.99331,0.52,11.5,6
9.3,0.38,0.48,3.8,0.99577,0.57,13.2,6
9.1,0.28,0.46,9,0.99901,0.6,10.9,6
10,0.46,0.44,2.9,0.99674,0.62,12.2,6
9.4,0.395,0.46,4.6,0.99639,0.64,12.2,7
8.6,0.315,0.4,2.2,0.99512,0.67,11.9,6
5.3,0.715,0.19,1.5,0.99395,0.61,11,5
6.8,0.41,0.31,8.8,0.99824,0.64,10.1,6
8.4,0.36,0.32,2.2,0.9964,0.72,11,6
8.4,0.62,0.12,1.8,0.99504,0.89,11.8,6
9.6,0.41,0.37,2.3,0.99786,0.56,10.5,5
8.6,0.47,0.27,2.3,0.99516,0.8,11.2,5
8.6,0.22,0.36,1.9,0.99604,0.87,11,7
9.4,0.24,0.33,2.3,0.99786,0.9,10.2,6
8.4,0.67,0.19,2.2,0.99736,0.59,9.2,4
8.7,0.33,0.38,3.3,0.99468,0.73,12,7
6.6,0.61,0.01,1.9,0.99746,0.73,10.5,5
7.4,0.61,0.01,2,0.99748,0.65,9.8,5
7.6,0.4,0.29,1.9,0.9971,0.59,9.5,6
8.8,0.3,0.38,2.3,0.99543,0.72,11.8,6
12,0.63,0.5,1.4,0.99791,0.6,10.4,4
7.2,0.38,0.38,2.8,0.99356,0.72,12.9,7
6.2,0.46,0.17,1.6,0.99425,0.54,11.4,5
9.6,0.33,0.52,2.2,0.99509,0.76,12.4,7
9.9,0.27,0.49,5,0.99484,0.52,12.5,7
10.1,0.43,0.4,2.6,0.99834,0.64,10,7
9.8,0.5,0.34,2.3,0.99864,0.6,9.7,7
8.3,0.3,0.49,3.8,0.99498,0.64,12.1,7
10.2,0.44,0.42,2,0.99566,0.79,11.1,7
10.2,0.44,0.58,4.1,0.99745,0.99,12,7
8.3,0.28,0.48,2.1,0.99408,0.62,12.4,7
8.9,0.12,0.45,1.8,0.99552,0.76,11.9,7
8.2,0.31,0.4,2.2,0.99536,0.68,11.2,7
10.2,0.34,0.48,2.1,0.99458,0.69,12.1,7
7.6,0.43,0.4,2.7,0.99538,0.54,12.2,6
8.5,0.21,0.52,1.9,0.99648,0.67,10.4,5
9,0.36,0.52,2.1,0.99568,0.62,11.3,6
9.5,0.37,0.52,2,0.99613,0.58,11.1,6
6.4,0.57,0.12,2.3,0.99519,0.71,11.3,7
8,0.59,0.05,2,0.99735,0.61,10,5
8.5,0.47,0.27,1.9,0.99518,0.85,11.1,6
7.1,0.56,0.14,1.6,0.99592,0.62,9.3,5
6.6,0.57,0.02,2.1,0.99654,0.69,9.5,5
8.8,0.27,0.39,2,0.99546,0.69,11.2,6
8.3,0.34,0.4,2.4,0.99554,0.86,11,6
9,0.38,0.41,2.4,0.99604,0.58,11.9,7
8.5,0.66,0.2,2.1,0.99733,0.48,9.2,5
9,0.4,0.43,2.4,0.9943,0.6,12.2,6
6.7,0.56,0.09,2.9,0.99669,0.61,10.2,5
10.4,0.26,0.48,1.9,0.99724,0.87,10.9,6
10.1,0.38,0.5,2.4,0.99643,0.65,11.6,7
8.5,0.34,0.44,1.7,0.99605,0.63,10.7,5
8.8,0.33,0.41,5.9,0.99658,0.62,12.1,7
7.2,0.41,0.3,2.1,0.997,0.52,9.4,5
8.4,0.59,0.29,2.6,0.99801,0.5,9.1,5
7,0.4,0.32,3.6,0.99416,0.49,11.3,7
12.2,0.45,0.49,1.4,0.9969,0.63,10.4,5
9.1,0.5,0.3,1.9,0.99774,0.71,10.5,6
9.5,0.86,0.26,1.9,0.99712,0.62,10,5
7.3,0.52,0.32,2.1,0.99418,0.82,12.9,6
7.4,0.58,0,2,0.99562,0.58,11.3,6
9.8,0.34,0.39,1.4,0.9947,0.55,11.4,7
7.1,0.36,0.3,1.6,0.99693,0.5,9.4,5
7.7,0.39,0.12,1.7,0.99596,0.49,9.4,5
9.7,0.295,0.4,1.5,0.99556,0.51,10.9,6
7.1,0.34,0.28,2,0.99694,0.48,9.4,5
6.5,0.4,0.1,2,0.99554,0.48,9.4,6
10,0.35,0.45,2.5,0.99918,0.43,9.4,5
7.7,0.6,0.06,2,0.99697,0.62,10.1,6
5.6,0.66,0,2.2,0.99378,0.63,12.8,7
8.9,0.84,0.34,1.4,0.99554,0.48,9.1,6
6.4,0.69,0,1.65,0.99162,0.53,12.9,6
7.5,0.43,0.3,2.2,0.99495,0.72,11.5,7
9.9,0.35,0.38,1.5,0.99676,0.82,10.6,7
9.1,0.29,0.33,2.05,0.99516,0.84,11.7,7
6.8,0.36,0.32,1.8,0.9928,0.55,12.8,7
8.2,0.43,0.29,1.6,0.99603,0.54,10.3,5
9.1,0.3,0.34,2,0.99516,0.84,11.7,7
8.9,0.35,0.4,3.6,0.99549,0.7,12,7
9.6,0.5,0.36,2.8,0.99722,0.68,10.9,5
8.9,0.28,0.45,1.7,0.99354,0.55,12.3,7
8.9,0.32,0.31,2,0.9957,0.55,10.4,6
7.7,1.005,0.15,2.1,0.99604,0.48,10,5
7.5,0.71,0,1.6,0.99635,0.58,10,6
8,0.58,0.16,2,0.99454,0.58,11.2,6
10.5,0.39,0.46,2.2,0.99598,0.84,11.4,6
8.9,0.38,0.4,2.2,0.99486,0.75,12.6,7
8,0.18,0.37,0.9,0.99007,0.44,12.7,6
7,0.5,0.14,1.8,0.99636,0.61,10.4,5
11.3,0.36,0.66,2.4,0.99642,0.53,11.9,6
7,0.51,0.09,2.1,0.99584,0.54,10.5,5
8.2,0.32,0.42,2.3,0.99506,0.55,12.3,6
7.7,0.58,0.01,1.8,0.99568,0.56,10.5,7
8.6,0.83,0,2.8,0.99822,0.6,10.4,6
7.9,0.31,0.32,1.9,0.99364,0.56,12.6,6
6.4,0.795,0,2.2,0.99378,0.52,11.6,5
7.2,0.34,0.21,2.5,0.99586,0.54,10.1,6
7.1,0.59,0,2.1,0.99488,0.55,11.5,7
7.3,0.55,0.01,1.8,0.99514,0.58,11,7
8.1,0.82,0,4.1,0.99854,0.53,9.6,5
7.5,0.57,0.08,2.6,0.99592,0.59,10.4,6
8.9,0.745,0.18,2.5,0.99739,0.47,9.7,6
10.1,0.37,0.34,2.4,0.99683,0.65,10.6,7
7.6,0.31,0.34,2.5,0.99356,0.59,12.5,7
7.3,0.91,0.1,1.8,0.99672,0.56,9.2,5
8.7,0.41,0.41,6.2,0.9953,0.77,12.6,7
8.9,0.5,0.21,2.2,0.99692,0.83,11.1,6
7.4,0.965,0,2.2,0.99756,0.67,10.2,5
6.9,0.49,0.19,1.7,0.99547,0.64,9.8,6
9.5,0.39,0.41,8.9,0.99859,0.81,10.9,7
6.4,0.39,0.33,3.3,0.99294,0.62,12.2,6
6.9,0.44,0,1.4,0.99438,0.58,11.4,6
7.6,0.78,0,1.7,0.99612,0.62,10.7,6
7.1,0.43,0.17,1.8,0.99634,0.64,10.4,5
9.3,0.49,0.36,1.7,0.99702,0.78,10.9,6
9.3,0.5,0.36,1.8,0.99704,0.77,10.8,6
8.5,0.46,0.59,1.4,0.99702,1.34,9.2,5
5.6,0.605,0.05,2.4,0.99258,0.55,12.9,5
8.3,0.33,0.42,2.3,0.99426,0.77,12.7,7
8.2,0.64,0.27,2,0.99747,0.62,9.1,6
8.9,0.48,0.53,4,0.99586,0.59,12.1,7
7.6,0.42,0.25,3.9,0.99784,0.57,9.1,5
9.9,0.53,0.57,2.4,0.9971,0.76,11.6,7
11.6,0.23,0.57,1.8,0.9981,0.7,9.9,6
9.1,0.4,0.5,1.8,0.99462,0.69,12.5,8
8,0.38,0.44,1.9,0.9956,0.64,11.4,6
10.2,0.29,0.65,2.4,0.99565,0.63,11.8,6
8.2,0.74,0.09,2,0.99418,0.57,11.8,6
7.7,0.61,0.18,2.4,0.9963,0.6,10.2,6
6.6,0.52,0.08,2.4,0.99358,0.72,12.5,7
11.1,0.31,0.53,2.2,0.99572,0.83,10.9,7
8,0.62,0.35,2.8,0.997,0.62,10.8,5
9.3,0.33,0.45,1.5,0.99498,0.89,11.1,7
7.5,0.77,0.2,8.1,0.99892,0.58,9.2,5
7.2,0.35,0.26,1.8,0.9968,0.58,9.5,6
8,0.62,0.33,2.7,0.9972,0.58,10.7,6
9.1,0.25,0.34,2,0.99769,0.86,10.2,7
9.9,0.32,0.56,2,0.99534,0.73,11.4,6
8.6,0.37,0.65,6.4,0.99817,0.58,11,5
7.9,0.3,0.68,8.3,0.99316,0.51,12.3,7
10.3,0.27,0.56,1.4,0.99471,0.51,11.8,6
7.2,0.38,0.3,1.8,0.99685,0.59,9.5,6
8.7,0.42,0.45,2.4,0.99617,0.77,12,6
6.8,0.48,0.08,1.8,0.99529,0.49,9.6,5
8.5,0.34,0.4,4.7,0.99738,0.66,11.6,7
7.9,0.19,0.42,1.6,0.994,0.69,11.2,6
11.6,0.41,0.54,1.5,0.99735,0.76,9.9,7
10,0.26,0.54,1.9,0.99451,0.63,11.8,8
7.9,0.34,0.42,2,0.99546,0.6,11.4,6
7,0.54,0.09,2,0.99479,0.59,11.5,6
9.2,0.31,0.36,2.2,0.99615,0.86,12,7
6.6,0.725,0.09,5.5,0.99655,0.49,10.8,6
9.4,0.4,0.47,2.5,0.99772,0.5,10.5,5
8.6,0.52,0.38,1.5,0.99666,0.52,9.4,5
8,0.31,0.45,2.1,0.99358,0.81,12.5,7
8.4,0.34,0.42,2.1,0.99392,0.78,12.4,6
7.4,0.49,0.27,2.1,0.99388,0.63,12,6
6.1,0.48,0.09,1.7,0.99402,0.54,11.2,6
8,0.48,0.34,2.2,0.9936,0.66,12.4,6
6.3,0.57,0.28,2.1,0.99374,0.6,12.8,5
8.2,0.23,0.42,1.9,0.99376,0.54,12.3,6
9.1,0.3,0.41,2,0.99523,0.85,11.7,7
8.1,0.78,0.1,3.3,0.99855,0.49,9.5,5
10.8,0.47,0.43,2.1,0.9982,0.76,10.8,6
8.3,0.53,0,1.4,0.99593,0.64,10,6
5.4,0.42,0.27,2,0.99471,0.64,12.3,7
7.9,0.33,0.41,1.5,0.99396,0.71,11,6
8.9,0.24,0.39,1.6,0.99698,0.59,9.5,6
5,0.4,0.5,4.3,0.9902,0.66,13.6,6
7,0.69,0.07,2.5,0.99572,0.6,11.3,6
7.1,0.39,0.12,2.1,0.99252,0.53,13.3,6
5.6,0.66,0,2.5,0.99256,0.58,12.9,5
7.9,0.54,0.34,2.5,0.99235,0.72,13.1,8
6.6,0.5,0,1.8,0.99352,0.55,12.3,6
6.3,0.47,0,1.4,0.9922,0.48,12.3,6
10.7,0.4,0.37,1.9,0.99674,0.65,11.2,6
6.5,0.58,0,2.2,0.99557,0.62,11.5,4
8.8,0.24,0.35,1.7,0.99394,0.59,11.3,7
5.8,0.29,0.26,1.7,0.9915,0.54,13.5,6
6.3,0.76,0,2.9,0.99379,0.6,11.5,6
10,0.43,0.33,2.7,0.9984,0.68,10,5
10.5,0.43,0.35,3.3,0.99798,0.69,10.5,6
9.1,0.6,0,1.9,0.9977,0.63,10.4,6
5.9,0.19,0.21,1.7,0.99341,0.44,9.5,5
7.4,0.36,0.34,1.8,0.9933,0.88,13.6,7
7.2,0.48,0.07,5.5,0.99684,0.68,11.2,7
8.5,0.28,0.35,1.7,0.99524,0.74,11.8,7
8,0.25,0.43,1.7,0.9946,0.6,11.9,6
10.4,0.52,0.45,2,0.99774,0.76,11.4,6
7.5,0.41,0.15,3.7,0.99786,0.58,9.1,5
8.2,0.51,0.24,2,0.99764,0.64,9.5,6
7.3,0.4,0.3,1.7,0.9969,0.65,9.5,6
8.2,0.38,0.32,2.5,0.99624,0.85,11,6
6.9,0.45,0.11,2.4,0.99354,0.65,11.4,6
7,0.22,0.3,1.8,0.99672,0.82,10,6
7.3,0.32,0.23,2.3,0.99588,0.62,10.1,5
8.2,0.2,0.43,2.5,0.99672,0.81,10.4,6
7.8,0.5,0.12,1.8,0.996,0.87,9.8,6
10,0.41,0.45,6.2,0.99702,0.49,11.8,7
7.8,0.39,0.42,2,0.99526,0.66,11.6,6
10,0.35,0.47,2,0.99585,0.52,12,6
8.2,0.33,0.32,2.8,0.99473,0.76,12.8,7
6.1,0.58,0.23,2.5,0.99352,0.65,12.5,6
8.3,0.6,0.25,2.2,0.99616,0.53,9.8,5
9.6,0.42,0.35,2.1,0.99622,0.66,11.1,6
6.6,0.58,0,2.2,0.99544,0.68,11.4,6
8.5,0.18,0.51,1.75,0.99524,0.76,11.8,7
5.1,0.51,0.18,2.1,0.9924,0.87,12.9,7
6.7,0.41,0.43,2.8,0.99572,1.16,10.6,6
10.2,0.41,0.43,2.2,0.99728,0.67,10.8,5
10.6,0.36,0.57,2.3,0.99676,0.72,11.1,7
8.8,0.45,0.43,1.4,0.99551,0.75,10.2,6
8.5,0.32,0.42,2.3,0.99434,0.71,11.8,7
9,0.785,0.24,1.7,0.99692,0.67,10,5
8.5,0.44,0.5,1.9,0.99634,1.1,9.4,5
9.9,0.54,0.26,2,0.99709,0.98,10.2,5
8.2,0.33,0.39,2.5,0.99528,0.88,12.4,7
6.5,0.34,0.27,2.8,0.99384,0.56,12,6
7.6,0.5,0.29,2.3,0.99502,0.62,11.5,6
9.2,0.36,0.34,1.6,0.99667,0.67,10.5,6
7.1,0.59,0,2.2,0.99522,0.68,10.8,6
9.7,0.42,0.46,2.1,0.99649,0.74,12.3,6
7.6,0.36,0.31,1.7,0.99716,0.62,9.5,6
6.5,0.61,0,2.2,0.99541,0.7,11.5,6
6.5,0.88,0.03,5.6,0.99572,0.5,11.2,4
7.1,0.66,0,2.4,0.99318,0.66,12.7,7
5.6,0.915,0,2.1,0.99346,0.73,11.4,5
8.2,0.35,0.33,2.4,0.99599,0.81,11,6
9.8,0.39,0.43,1.65,0.99478,0.46,11.4,5
10.2,0.4,0.4,2.5,0.99754,0.86,10.5,6
6.8,0.66,0.07,1.6,0.99572,0.6,9.3,5
6.7,0.64,0.23,2.1,0.99538,0.7,10.9,5
7,0.43,0.3,2,0.99346,0.46,11.9,6
6.6,0.8,0.03,7.8,0.9963,0.5,12.2,5
8.8,0.955,0.05,1.8,0.99616,0.44,9.6,4
9.1,0.4,0.57,4.6,0.99652,0.57,12.5,6
6.5,0.885,0,2.3,0.99551,0.51,10.8,5
7.2,0.25,0.37,2.5,0.99439,0.8,12.4,7
6.4,0.885,0,2.3,0.99551,0.51,10.8,5
7,0.745,0.12,1.8,0.99588,0.59,9.5,6
6.2,0.43,0.22,1.8,0.99633,0.6,9.5,6
